「糸」をむすぶ。;「いと」をむすぶ。
ゆっくり「休む」。;ゆっくり「やすむ」。
お「金」をはらう。;お「かね」をはらう。
にわの「土」。;にわの「つち」。
もう「一つ」、気[き]になることがあります。;もう「ひとつ」、気[き]になることがあります。
「七人」のさむらい。;「しちにん」のさむらい。
ケーキ[けえき]を「三つ」たべました。;ケーキ[けえき]を「みっつ」たべました。
かたでいきをするようにかたを「上下」させた。;かたでいきをするようにかたを「じょうげ」させた。
つくえの「下」。;つくえの「した」。
この 服[ふく]は「上下」 セット[せっと]で 買い[かい]ました。;この 服[ふく]は「じょうげ」 セット[せっと]で 買い[かい]ました。
「中 国[ごく]」の 地図[ちず]。;「ちゅうごく」の 地図[ちず]。
いちごを「九つ」たべた。;いちごを「ここのつ」たべた。
「五つ」の コース[こうす]料理[りょうり]。;「いつつ」の コース[こうす]料理[りょうり]。
「日本人」です。;「にほんじん」です。
あしたは「休日」です。;あしたは「きゅうじつ」です。
かれも「先生」です。;かれも「せんせい」です。
「入口」はどこですか。;「いりぐち」はどこですか。
四月[しがつ]に 大学[だいがく]に「入学」しました。;四月[しがつ]に 大学[だいがく]に「にゅうがく」しました。
お「八つ」の 時間[じかん]ですよ。;お「やっつ」の 時間[じかん]ですよ。
「六月」です。;「ろくがつ」です。
「しゅっぱつび」。;「出ぱつ日」。
みんなの「きょう力」が 大切[たいせつ]です。;みんなの「きょうりょく」が 大切[たいせつ]です。
「じゅうにんといろ」。;「十人といろ」。
私[わたし]は「力士」じゃない。 : 士;私[わたし]は「りきし」じゃない。
心[こころ]は「千々」にみだれていた。;心[こころ]は「ちじ」にみだれていた。
ぎんこう「口ざ」をもっていますか。;ぎんこう「こうざ」をもっていますか。
通り[とおり]を 渡る[わたる] 前[まえ]に「左右」を 見[み]た。;通り[とおり]を 渡る[わたる] 前[まえ]に「さゆう」を 見[み]た。
彼[かれ]はつりの「名人」です。;彼[かれ]はつりの「めいじん」です。
あなたの「名字」は何[なに]ですか。;あなたの「みょうじ」は何[なに]ですか。
ミカン[みかん]を「四つ」 食べ[たべ]た。;ミカン[みかん]を「よっつ」 食べ[たべ]た。
「四月」ですね。;「しがつ」ですね。
きょうは「土 曜[よう] 日」です。;きょうは「どようび」です。
ここは 父[ちち]の「土地」です。 : 地;ここは 父[ちち]の「とち」です。
もちろん、「一夕」 一朝[いっちょう]では 無理[むり]だ。;もちろん、「いっせき」 一朝[いっちょう]では 無理[むり]だ。
「大学」に 行く[いく]。;「だいがく」に 行く[いく]。
「大切[せつ]」な 人[ひと]。;「たいせつ」な 人[ひと]。
「天 照[てらす] 」 大神[だいじん]。;「あまてらす」だいじん。
その「女 性[せい]」の 髪[かみ]は 黒い[くろい]。;その「じょせい」の 髪[かみ]は 黒い[くろい]。
「天女」みたいな 感じ[かんじ]。;「てんにょ」みたいな 感じ[かんじ]。
四つ[よっつ]しか「 椅[い] 子」がない。;四つ[よっつ]しか「いす」がない。
この 曲[きょく]は4「 拍[ひょう] 子」です。;この 曲[きょく]は4「ひょうし」です。
「学ぶ」べきことはたくさんある。;「まなぶ」べきことはたくさんある。
「学生」です。;「がくせい」です。
「少々」お 待ち[まち]ください。;「しょうしょう」お 待ち[まち]ください。
「山林」の 中[なか]を マウンテンバイク[まうんてんばいく]で 走っ[はしっ]た。;「さんりん」の 中[なか]を マウンテンバイク[まうんてんばいく]で 走っ[はしっ]た。
小さな[ちいさな]「川」を 渡り[わたり]ました。;小さな[ちいさな]「かわ」を 渡り[わたり]ました。
「今[こ]年」の 春[はる]。;「ことし」の 春[はる]。
「一年」が過ぎ[すぎ]た。;「いちねん」が過ぎ[すぎ]た。
妹[いもうと]は 歌[うた]が「上手」です。;妹[いもうと]は 歌[うた]が「じょうず」です。
Ｐの「文字」 。;Ｐの「もじ」 。
「日 常[じょう] 」の 生活[せいかつ]を 楽しみ[たのしみ]たい。;「にちじょう」の 生活[せいかつ]を 楽しみ[たのしみ]たい。
私[わたし]は「二日」 待っ[まっ]た。;私[わたし]は「ふつか」 待っ[まっ]た。
あしたは「休日」です。;あしたは「きゅうじつ」です。
土曜日[どようび]、「早朝[ちょう]」6 時[じ]に 起床[きしょう]。;土曜日[どようび]、「そうちょう」 6 時[じ]に 起床[きしょう]。
「月 曜[よう] 日」です。;「げつようび」です。
「木 曜[よう] 日」です。;「もくようび」です。
いきなり「土木」 工事[こうじ]が 始まっ[はじまっ]てしまった。;いきなり「どぼく」 工事[こうじ]が 始まっ[はじまっ]てしまった。
「村 道[どう]」を 歩き[あるき]ながら、 少し[すこし] 泣き[なき]そうになった。;「そんどう」を 歩き[あるき]ながら、 少し[すこし] 泣き[なき]そうになった。
密集[みっしゅう]した「竹林」。;密集[みっしゅう]した「ちくりん」。
わが 国[くに]の 国土[こくど]は70%が「森林」です。;わが 国[くに]の 国土[こくど]は70%が「しんりん」です。
「正 解[かい] 」です。;「せいかい」です。
その「正 体[たい]」はすぐに 分かっ[わかっ]た。;その「しょうたい」はすぐに 分かっ[わかっ]た。
彼[かれ]は「正に」 英雄[えいゆう]ね。;彼[かれ]は「まさに」 英雄[えいゆう]ね。
「楽[たの]し気」な 笑い声[わらいごえ]。;「たのしげ」な 笑い声[わらいごえ]。
「水 曜[よう] 日」です。;「すいようび」です。
「火 曜[よう] 日」です。;「かようび」です。
「愛[あい]犬」と 二人旅[ふたりたび]に 行っ[いっ]てきます。;「あいけん」と 二人旅[ふたりたび]に 行っ[いっ]てきます。
そこには「玉 座[ざ] 」があった。;そこには「ぎょくざ」があった。
「生きる」のが 苦しい[くるしい]。;「いきる」のが 苦しい[くるしい]。
ドイツ[どいつ]での「生 活[かつ]」はどう？;ドイツ[どいつ]での「せいかつ」はどう？
母さん[かあさん]の「生 国[こく] 」か。;母さん[かあさん]の「しょうこく」か。
窓[まど]の 外[そと]に「水田」が 広がっ[ひろがっ]ていたよ。;窓[まど]の 外[そと]に「すいでん」が 広がっ[ひろがっ]ていたよ。
その「男 性[せい]」は 悪い[わるい] 人[ひと]です。;その「だんせい」は 悪い[わるい] 人[ひと]です。
「三男」は 兄弟[きょうだい]の 中[なか]で 一番[いちばん] 元気[げんき]だ。;「さんなん」は 兄弟[きょうだい]の 中[なか]で 一番[いちばん] 元気[げんき]だ。
「町名」が 昔[むかし]の 区画[くかく]を 教え[おしえ]てくれる。;「ちょうめい」が 昔[むかし]の 区画[くかく]を 教え[おしえ]てくれる。
「三百円」。;「さんびゃくえん」。
美しい[うつくしい]「 白[はく] 鳥」。;美しい[うつくしい]「はくちょう」。
「目標[ひょう]」は 何[なに]ですか。;「もくひょう」は 何[なに]ですか。
「 鉄[てっ] 石」というのは、 鉄[てつ]の 元[もと]になる 鉱石[こうせき]だ。;「てっせき」というのは、 鉄[てつ]の 元[もと]になる 鉱石[こうせき]だ。
今度[こんど]の 土日[どにち]はどちらも「空いている」。;今度[こんど]の 土日[どにち]はどちらも「あいている」。
「空 港[こう]」に 行く[いく]。;「くうこう」に 行く[いく]。
彼[かれ]は「空手」を 習っ[ならっ]ています。;彼[かれ]は「からて」を 習っ[ならっ]ています。
「 国[こく] 立」 大学[だいがく]。;「こくりつ」 大学[だいがく]。
嫌[いや]でも「耳目」を 集め[あつめ]てしまうのだ。;嫌[いや]でも「じもく」を 集め[あつめ]てしまうのだ。
「花 道[どう]」をゆっくり 進む[すすむ]。;「かどう」をゆっくり 進む[すすむ]。
皆[みな]で 東京[とうきょう]「見 物[ぶつ] 」をした。;皆[みな]で 東京[とうきょう]「けんぶつ」をした。
「赤 外線[がいせん]」でも 見る[みる]ことができるのだ。;「せきがいせん」でも 見る[みる]ことができるのだ。
ぜんぜん「足りない」です。;ぜんぜん「たりない」です。
「足 元[もと] 」に 気[き]をつけて 下さい[ください]。;「あしもと」に 気[き]をつけて 下さい[ください]。
「一足」の 靴[くつ]。;「いっそく」の 靴[くつ]。
「車」の 鍵[かぎ] 。;「くるま」の 鍵[かぎ] 。
「汽車」で 旅行[りょこう]に 行く[いく]。;「きしゃ」で 旅行[りょこう]に 行く[いく]。
「現[げん]金」 払い[はらい] 。;「げんきん」 払い[はらい] 。
「雨 具[ぐ]」の 用意[ようい]を 忘れ[わすれ]ないように。;「あまぐ」の 用意[ようい]を 忘れ[わすれ]ないように。
日本[にっぽん]の「雨 期[き]」は 六月[ろくがつ] 頃[ごろ]です。;日本[にっぽん]の「うき」は 六月[ろくがつ] 頃[ごろ]です。
「音 楽[がく]」を 聞く[きく]。;「おんがく」を 聞く[きく]。
この 曲[きょく]を 聞く[きく]と「青 春[しゅん] 」の 頃[ころ]を 思い出し[おもいだし]ます。;この 曲[きょく]を 聞く[きく]と「せいしゅん」の 頃[ころ]を 思い出し[おもいだし]ます。
静寂[せいじゃく]の 中[なか]に 発生[はっせい]した 小さな[ちいさな]「空音」。;静寂[せいじゃく]の 中[なか]に 発生[はっせい]した 小さな[ちいさな]「そらね」。
「昆[こん]虫」には 足[あし]が 六[ろく] 本[ほん]あります。;「こんちゅう」には 足[あし]が 六[ろく] 本[ほん]あります。
アフリカ[あふりか]の「草 原[げん]」。;アフリカ[あふりか]の「そうげん」。
